date,year,week,rate
2010-06-05 10:00:00,2010,22,42.9666666667
2010-06-19 10:00:00,2010,24,61.9047619048
2010-07-03 10:00:00,2010,26,9.57619047619
2010-07-17 10:00:00,2010,28,38.0952380952
2010-07-31 10:00:00,2010,30,42.8571428571
2010-08-14 10:00:00,2010,32,14.2857142857
2010-08-28 10:00:00,2010,34,14.2857142857
2010-09-11 10:00:00,2010,36,14.2857142857
2010-09-25 10:00:00,2010,38,114.285714286
2010-10-09 10:00:00,2010,40,9.24523809524
2010-10-16 10:00:00,2010,41,9.94761904762
2010-10-23 10:00:00,2010,42,16.3585714286
2010-10-30 10:00:00,2010,43,16.250952381
2010-11-06 11:00:00,2010,44,15.2471428571
2010-11-13 11:00:00,2010,45,17.6919047619
2010-11-20 11:00:00,2010,46,15.610952381
2010-11-27 11:00:00,2010,47,19.6038095238
2010-12-04 11:00:00,2010,48,24.9538095238
2010-12-11 11:00:00,2010,49,14.8223809524
2010-12-18 11:00:00,2010,50,36.2514285714
2010-12-25 11:00:00,2010,51,77.1595238095
2011-01-01 11:00:00,2011,52,136.22952381
2011-01-08 11:00:00,2011,1,160.163333333
2011-01-15 11:00:00,2011,2,206.096190476
2011-01-22 11:00:00,2011,3,192.04047619
2011-01-29 11:00:00,2011,4,174.308095238
2011-02-05 11:00:00,2011,5,144.720952381
2011-02-12 11:00:00,2011,6,129.556666667
2011-02-19 11:00:00,2011,7,90.9447619048
2011-02-26 11:00:00,2011,8,66.7695238095
2011-03-05 11:00:00,2011,9,49.890952381
2011-03-12 11:00:00,2011,10,32.1580952381
2011-03-19 11:00:00,2011,11,26.5228571429
2011-03-26 11:00:00,2011,12,17.3442857143
2011-04-02 10:00:00,2011,13,19.1323809524
2011-04-09 10:00:00,2011,14,8.76523809524
2011-04-16 10:00:00,2011,15,9.04095238095
2011-04-23 10:00:00,2011,16,5.08523809524
2011-04-30 10:00:00,2011,17,6.75285714286
2011-05-07 10:00:00,2011,18,5.78238095238
2011-05-14 10:00:00,2011,19,5.52761904762
2011-05-21 10:00:00,2011,20,6.31095238095
2011-06-04 10:00:00,2011,22,0.0
2011-06-18 10:00:00,2011,24,0.0
2011-07-02 10:00:00,2011,26,0.0
2011-07-16 10:00:00,2011,28,0.0
2011-07-30 10:00:00,2011,30,0.0
2011-08-13 10:00:00,2011,32,0.0
2011-08-27 10:00:00,2011,34,0.0
2011-09-10 10:00:00,2011,36,0.0
2011-09-24 10:00:00,2011,38,0.0
2011-10-08 10:00:00,2011,40,11.9523809524
2011-10-15 10:00:00,2011,41,9.23904761905
2011-10-22 10:00:00,2011,42,13.4447619048
2011-10-29 10:00:00,2011,43,16.7938095238
2011-11-05 11:00:00,2011,44,14.6742857143
2011-11-12 11:00:00,2011,45,16.4852380952
2011-11-19 11:00:00,2011,46,19.6452380952
2011-11-26 11:00:00,2011,47,20.7252380952
2011-12-03 11:00:00,2011,48,21.469047619
2011-12-10 11:00:00,2011,49,18.6514285714
2011-12-17 11:00:00,2011,50,25.0128571429
2011-12-24 11:00:00,2011,51,31.88
2011-12-31 11:00:00,2011,52,48.5676190476
2012-01-08 11:00:00,2012,1,39.5461904762
2012-01-15 11:00:00,2012,2,81.7933333333
2012-01-22 11:00:00,2012,3,106.173181818
2012-01-29 11:00:00,2012,4,164.348181818
2012-02-05 11:00:00,2012,5,173.488181818
2012-02-12 11:00:00,2012,6,208.787727273
2012-02-19 11:00:00,2012,7,214.921818182
2012-02-26 11:00:00,2012,8,165.516363636
2012-03-04 11:00:00,2012,9,113.775
2012-03-11 11:00:00,2012,10,68.6268181818
2012-03-18 11:00:00,2012,11,49.3609090909
2012-03-25 10:00:00,2012,12,30.6272727273
2012-04-01 10:00:00,2012,13,21.5004545455
2012-04-08 10:00:00,2012,14,11.685
2012-04-15 10:00:00,2012,15,14.4940909091
2012-04-22 10:00:00,2012,16,10.6863636364
2012-04-29 10:00:00,2012,17,8.81227272727
2012-05-06 10:00:00,2012,18,8.55590909091
2012-05-13 10:00:00,2012,19,4.72181818182
2012-05-20 10:00:00,2012,20,6.27
2012-06-03 10:00:00,2012,22,0.0
2012-06-17 10:00:00,2012,24,0.0
2012-07-01 10:00:00,2012,26,0.0
2012-07-15 10:00:00,2012,28,0.0
2012-07-29 10:00:00,2012,30,0.0
2012-08-12 10:00:00,2012,32,0.0
2012-08-26 10:00:00,2012,34,0.0
2012-09-09 10:00:00,2012,36,0.0
2012-09-23 10:00:00,2012,38,0.0
2012-10-07 10:00:00,2012,40,7.095
2012-10-14 10:00:00,2012,41,5.075
2012-10-21 10:00:00,2012,42,7.83954545455
2012-10-28 11:00:00,2012,43,12.4186363636
2012-11-04 11:00:00,2012,44,8.43681818182
2012-11-11 11:00:00,2012,45,14.7340909091
2012-11-18 11:00:00,2012,46,13.0209090909
2012-11-25 11:00:00,2012,47,13.8565
2012-12-02 11:00:00,2012,48,19.2555
2012-12-09 11:00:00,2012,49,16.959
2012-12-16 11:00:00,2012,50,22.8905
2012-12-23 11:00:00,2012,51,26.275
2012-12-30 11:00:00,2012,52,38.159
2013-01-06 11:00:00,2013,1,27.1055
2013-01-13 11:00:00,2013,2,54.047
2013-01-20 11:00:00,2013,3,98.001
2013-01-27 11:00:00,2013,4,142.9825
2013-02-03 11:00:00,2013,5,172.7365
2013-02-10 11:00:00,2013,6,186.9465
2013-02-17 11:00:00,2013,7,203.42952381
2013-02-24 11:00:00,2013,8,180.129047619
2013-03-03 11:00:00,2013,9,139.644285714
2013-03-10 11:00:00,2013,10,151.5115
2013-03-17 11:00:00,2013,11,93.664
2013-03-24 11:00:00,2013,12,76.005
2013-03-31 10:00:00,2013,13,27.7123809524
2013-04-07 10:00:00,2013,14,21.5633333333
2013-04-14 10:00:00,2013,15,17.9276190476
2013-04-21 10:00:00,2013,16,15.2235
2013-04-28 10:00:00,2013,17,9.82904761905
2013-05-05 10:00:00,2013,18,5.4795
2013-05-12 10:00:00,2013,19,5.09857142857
2013-05-19 10:00:00,2013,20,5.14904761905
2013-07-28 10:00:00,2013,30,0.0
2013-09-22 10:00:00,2013,38,0.0
2013-10-06 10:00:00,2013,40,6.5365
2013-10-13 10:00:00,2013,41,7.995
2013-10-20 10:00:00,2013,42,9.534
2013-10-27 11:00:00,2013,43,9.46
2013-11-03 11:00:00,2013,44,11.8855
2013-11-10 11:00:00,2013,45,14.3755
2013-11-17 11:00:00,2013,46,11.503
2013-11-24 11:00:00,2013,47,16.2485
2013-12-01 11:00:00,2013,48,14.7035
2013-12-08 11:00:00,2013,49,15.777
2013-12-15 11:00:00,2013,50,23.6905
2013-12-22 11:00:00,2013,51,26.0755
2013-12-29 11:00:00,2013,52,42.3835
2014-01-05 11:00:00,2014,1,67.342
2014-01-12 11:00:00,2014,2,137.066
2014-01-19 11:00:00,2014,3,244.44
2014-01-26 11:00:00,2014,4,254.5535
2014-02-02 11:00:00,2014,5,183.5285
2014-02-09 11:00:00,2014,6,137.168
2014-02-16 11:00:00,2014,7,95.1525
2014-02-23 11:00:00,2014,8,66.127
2014-03-02 11:00:00,2014,9,52.391
2014-03-09 11:00:00,2014,10,36.2975
2014-03-16 11:00:00,2014,11,23.415
2014-03-23 11:00:00,2014,12,19.661
2014-03-30 10:00:00,2014,13,16.317
2014-04-06 10:00:00,2014,14,14.0695
2014-04-13 10:00:00,2014,15,10.737
2014-04-20 10:00:00,2014,16,5.8815
2014-04-27 10:00:00,2014,17,6.34
2014-05-04 10:00:00,2014,18,2.763
2014-05-11 10:00:00,2014,19,5.205
2014-05-18 10:00:00,2014,20,1.508
2014-10-05 10:00:00,2014,40,6.316
2014-10-12 10:00:00,2014,41,8.0755
2014-10-19 10:00:00,2014,42,9.571
2014-10-26 11:00:00,2014,43,11.2885
2014-11-02 11:00:00,2014,44,10.1325
2014-11-09 11:00:00,2014,45,12.639
2014-11-16 11:00:00,2014,46,14.376
2014-11-23 11:00:00,2014,47,15.282
2014-11-30 11:00:00,2014,48,19.202
2014-12-07 11:00:00,2014,49,17.895
2014-12-14 11:00:00,2014,50,26.3475
2014-12-21 11:00:00,2014,51,35.6455
2014-12-28 11:00:00,2014,52,21.706
2015-01-04 11:00:00,2015,1,31.7965
2015-01-11 11:00:00,2015,2,83.929
2015-01-18 11:00:00,2015,3,195.2245
2015-01-25 11:00:00,2015,4,287.1085
2015-02-01 11:00:00,2015,5,311.177
2015-02-08 11:00:00,2015,6,252.6435
2015-02-15 11:00:00,2015,7,217.4395
2015-02-22 11:00:00,2015,8,169.1115
2015-03-01 11:00:00,2015,9,134.0435
2015-03-08 11:00:00,2015,10,92.9665
2015-03-15 11:00:00,2015,11,59.0945
2015-03-22 11:00:00,2015,12,42.8365
2015-03-29 10:00:00,2015,13,30.0005
2015-04-05 10:00:00,2015,14,13.415
2015-04-12 10:00:00,2015,15,13.609
2015-04-19 10:00:00,2015,16,10.0225
2015-04-26 10:00:00,2015,17,5.3775
2015-05-03 10:00:00,2015,18,5.0185
2015-05-10 10:00:00,2015,19,3.2855
2015-05-17 10:00:00,2015,20,3.082
2015-10-04 10:00:00,2015,40,5.7975
2015-10-11 10:00:00,2015,41,7.77
2015-10-18 10:00:00,2015,42,10.1945
2015-10-25 11:00:00,2015,43,10.1465
2015-11-01 11:00:00,2015,44,11.0735
2015-11-08 11:00:00,2015,45,11.189
2015-11-15 11:00:00,2015,46,11.6175
2015-11-22 11:00:00,2015,47,13.503
2015-11-29 11:00:00,2015,48,17.632
2015-12-06 11:00:00,2015,49,18.5505
2015-12-13 11:00:00,2015,50,12.571
2015-12-20 11:00:00,2015,51,22.0175
2015-12-27 11:00:00,2015,52,19.072
2016-01-03 11:00:00,2016,53,19.207
2016-01-10 11:00:00,2016,1,26.6375
2016-01-17 11:00:00,2016,2,46.8285
2016-01-24 11:00:00,2016,3,81.353
2016-01-31 11:00:00,2016,4,145.7105
2016-02-07 11:00:00,2016,5,155.16
2016-02-14 11:00:00,2016,6,180.6085
2016-02-21 11:00:00,2016,7,159.224
2016-02-28 11:00:00,2016,8,185.386
2016-03-06 11:00:00,2016,9,167.282
2016-03-13 11:00:00,2016,10,167.1675
2016-03-20 11:00:00,2016,11,142.7495
2016-03-27 10:00:00,2016,12,87.9995
2016-04-03 10:00:00,2016,13,53.5145
2016-04-10 10:00:00,2016,14,37.475
2016-04-17 10:00:00,2016,15,30.8575
2016-04-24 10:00:00,2016,16,21.711
2016-05-01 10:00:00,2016,17,16.982
2016-05-08 10:00:00,2016,18,10.58
2016-05-15 10:00:00,2016,19,6.927
2016-05-22 10:00:00,2016,20,6.1765
2016-06-26 10:00:00,2016,25,0.0
2016-07-31 10:00:00,2016,30,0.0
2016-10-09 10:00:00,2016,40,6.1985
2016-10-16 10:00:00,2016,41,9.0765
2016-10-23 10:00:00,2016,42,12.683
2016-10-30 11:00:00,2016,43,9.7075
2016-11-06 11:00:00,2016,44,11.487
2016-11-13 11:00:00,2016,45,19.376
2016-11-20 11:00:00,2016,46,31.1645
2016-11-27 11:00:00,2016,47,36.7785
2016-12-04 11:00:00,2016,48,44.3185
2016-12-11 11:00:00,2016,49,42.5455
2016-12-18 11:00:00,2016,50,72.7225
2016-12-25 11:00:00,2016,51,96.8765
2017-01-01 11:00:00,2017,52,143.0445
2017-01-08 11:00:00,2017,1,168.1335
2017-01-15 11:00:00,2017,2,224.6695
2017-01-22 11:00:00,2017,3,204.756
2017-01-29 11:00:00,2017,4,166.8105
2017-02-05 11:00:00,2017,5,118.964
2017-02-12 11:00:00,2017,6,76.9755
2017-02-19 11:00:00,2017,7,45.2425
2017-02-26 11:00:00,2017,8,29.481
2017-03-05 11:00:00,2017,9,16.824
2017-03-12 11:00:00,2017,10,13.0
2017-03-19 11:00:00,2017,11,9.656
2017-03-26 10:00:00,2017,12,8.451
2017-04-02 10:00:00,2017,13,5.9465
2017-04-09 10:00:00,2017,14,5.567
2017-04-16 10:00:00,2017,15,2.3635
2017-04-23 10:00:00,2017,16,4.8135
2017-04-30 10:00:00,2017,17,6.4805
2017-04-30 12:00:00,2017,17,6.4805
2017-05-07 10:00:00,2017,18,2.0575
2017-05-14 10:00:00,2017,19,2.0165
2017-05-21 10:00:00,2017,20,2.2375
2017-06-25 12:00:00,2017,25,0.0
